Gesture,Machine,Accuracy,Precision,Recall,F1
About,DT,0.86317,0.3245,0.30435,0.3141
About,SVM,0.92583,0.94118,0.29814,0.45283
About,NN,0.90217,0.64286,0.1118,0.19048
And,DT,0.86829,0.35333,0.32716,0.33974
And,SVM,0.91368,0.84615,0.2037,0.32836
And,NN,0.9156,0.8,0.24691,0.37736
Can,DT,0.90153,0.51908,0.42767,0.46897
Can,SVM,0.92583,0.83077,0.33962,0.48214
Can,NN,0.92008,0.84,0.26415,0.40191
Cop,DT,0.87724,0.36691,0.32903,0.34694
Cop,SVM,0.92008,0.82609,0.24516,0.37811
Cop,NN,0.90537,1,0.045161,0.08642
Deaf,DT,0.8977,0.47826,0.35484,0.40741
Deaf,SVM,0.92263,0.75758,0.32258,0.45249
Deaf,NN,0.9009,0.5,0.058065,0.10405
Decide,DT,0.88747,0.42949,0.43506,0.43226
Decide,SVM,0.92008,0.74576,0.28571,0.41315
Decide,NN,0.90921,0.64286,0.17532,0.27551
Father,DT,0.88619,0.40714,0.375,0.39041
Father,SVM,0.93031,0.87719,0.32895,0.47847
Father,NN,0.90729,0.73333,0.072368,0.13174
Find,DT,0.90665,0.53086,0.55128,0.54088
Find,SVM,0.92263,0.88889,0.25641,0.39801
Find,NN,0.92839,0.82353,0.35897,0.5
GoOut,DT,0.90217,0.49645,0.46053,0.47782
GoOut,SVM,0.92775,0.88235,0.29605,0.44335
GoOut,NN,0.91944,0.88235,0.19737,0.32258
Hearing,DT,0.87276,0.35036,0.3038,0.32542
Hearing,SVM,0.92136,0.87234,0.25949,0.4
Hearing,NN,0.89962,0.53846,0.044304,0.081871
